index,School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
68,Eureka,Red Devils,"Eureka, IL",NACC,5.0,Turf,478.0,Eureka,http://eurekareddevils.com/sports/fball/2021-22/schedule,http://eurekareddevils.com/sports/fball/2022-23/schedule
69,FDU-Florham,Devils,"Madison, NJ",MAC,1.0,Turf,2532.0,FDU-Florham,http://fdudevils.com//sports/football/schedule/2021,http://fdudevils.com//sports/football/schedule/2022
70,Ferrum,Panthers,"Ferrum, VA",ODAC,3.0,Turf,1030.0,Ferrum,http://www.ferrumpanthers.com//sports/football/schedule/2021,http://www.ferrumpanthers.com//sports/football/schedule/2022
71,Finlandia,Lions,"Hancock, MI",UMAC,6.0,Turf,367.0,Finlandia,http://www.fulions.com/sports/football/schedule/2021,http://www.fulions.com/sports/football/schedule/2022
72,Fitchburg State,Falcons,"Fitchburg, MA",MASCAC,1.0,Turf,3145.0,Fitchburg St.,http://www.fscfalcons.com//sports/fball/2021-22/schedule,http://www.fscfalcons.com//sports/fball/2022-23/schedule
73,Framingham State,Rams,"Framingham, MA",MASCAC,1.0,Grass,3359.0,Framingham St.,http://www.fsurams.com/sports/fball/2021-22/schedule,http://www.fsurams.com/sports/fball/2022-23/schedule
74,Franklin and Marshall,Diplomats,"Lancaster, PA",CC,2.0,Turf,2306.0,Franklin & Marshall,http://www.godiplomats.com/sports/m-footbl/2021-22/schedule,http://www.godiplomats.com/sports/m-footbl/2022-23/schedule
75,Franklin,Grizzlies,"Franklin, IN",HCAC,4.0,Turf,876.0,Franklin,http://www.franklingrizzlies.com//sports/football/schedule/2021,http://www.franklingrizzlies.com//sports/football/schedule/2022
76,Gallaudet,Bison,"Washington, DC",ECFC,1.0,Turf,1005.0,Gallaudet,https://www.gallaudetathletics.com/sports/fball/2021-22/schedule,https://www.gallaudetathletics.com/sports/fball/2022-23/schedule
77,Geneva,Golden Tornadoes,"Beaver Falls, PA",PAC,2.0,Turf,1564.0,Geneva,http://athletics.geneva.edu//sports/football/schedule/2021,http://athletics.geneva.edu//sports/football/schedule/2022
78,George Fox,Bruins,"Newberg, OR",NWC,6.0,Turf,2428.0,George Fox,http://athletics.georgefox.edu/sports/football/schedule/2021,http://athletics.georgefox.edu/sports/football/schedule/2022
79,Gettysburg,Bullets,"Gettysburg, PA",CC,2.0,Turf,2367.0,Gettysburg,http://www.gettysburgsports.com//sports/football/schedule/2021,http://www.gettysburgsports.com//sports/football/schedule/2022
80,Greensboro,Pride,"Greensboro, NC",USAC,3.0,Turf,696.0,Greensboro,http://www.greensborocollegesports.com//sports/football/schedule/2021,http://www.greensborocollegesports.com//sports/football/schedule/2022
81,Greenville,Panthers,"Greenville, IL",UMAC,6.0,Grass,815.0,Greenville,https://athletics.greenville.edu/sports/fball/2021-22/schedule,https://athletics.greenville.edu/sports/fball/2022-23/schedule
82,Grinnell,Pioneers,"Grinnell, IA",MWC,5.0,Grass,1694.0,Grinnell College,http://pioneers.grinnell.edu//sports/football/schedule/2021,http://pioneers.grinnell.edu//sports/football/schedule/2022
83,Grove City,Wolverines,"Grove City, PA",PAC,2.0,Turf,2509.0,Grove City,https://athletics.gcc.edu/sports/football/schedule/2021,https://athletics.gcc.edu/sports/football/schedule/2022
84,Guilford,Quakers,"Greensboro, NC",ODAC,3.0,Turf,1266.0,Guilford,http://www.guilfordquakers.com/sports/football/schedule/2021,http://www.guilfordquakers.com/sports/football/schedule/2022
85,Gustavus Adolphus,Gusties,"St. Peter, MN",MIAC,6.0,Turf,2212.0,NONE,,
